"","fips","HC01_EST_VC02","HC02_EST_VC02","HC03_EST_VC02","HC04_EST_VC02","HC05_EST_VC02","HC01_EST_VC03","HC02_EST_VC03","HC03_EST_VC03","HC04_EST_VC03","HC05_EST_VC03","HC01_EST_VC06","HC02_EST_VC06","HC03_EST_VC06","HC04_EST_VC06","HC05_EST_VC06","HC01_EST_VC07","HC02_EST_VC07","HC03_EST_VC07","HC04_EST_VC07","HC05_EST_VC07","HC01_EST_VC10","HC02_EST_VC10","HC03_EST_VC10","HC04_EST_VC10","HC05_EST_VC10","HC01_EST_VC11","HC02_EST_VC11","HC03_EST_VC11","HC04_EST_VC11","HC05_EST_VC11","HC01_EST_VC12","HC02_EST_VC12","HC03_EST_VC12","HC04_EST_VC12","HC05_EST_VC12","HC01_EST_VC13","HC02_EST_VC13","HC03_EST_VC13","HC04_EST_VC13","HC05_EST_VC13","HC01_EST_VC15","HC02_EST_VC15","HC03_EST_VC15","HC04_EST_VC15","HC05_EST_VC15","HC01_EST_VC17","HC02_EST_VC17","HC03_EST_VC17","HC04_EST_VC17","HC05_EST_VC17","HC01_EST_VC18","HC02_EST_VC18","HC03_EST_VC18","HC04_EST_VC18","HC05_EST_VC18","HC01_EST_VC19","HC02_EST_VC19","HC03_EST_VC19","HC04_EST_VC19","HC05_EST_VC19","HC01_EST_VC20","HC02_EST_VC20","HC03_EST_VC20","HC04_EST_VC20","HC05_EST_VC20","HC01_EST_VC23","HC02_EST_VC23","HC03_EST_VC23","HC04_EST_VC23","HC05_EST_VC23","HC01_EST_VC24","HC02_EST_VC24","HC03_EST_VC24","HC04_EST_VC24","HC05_EST_VC24","HC01_EST_VC27","HC02_EST_VC27","HC03_EST_VC27","HC04_EST_VC27","HC05_EST_VC27","HC01_EST_VC28","HC02_EST_VC28","HC03_EST_VC28","HC04_EST_VC28","HC05_EST_VC28","HC01_EST_VC29","HC02_EST_VC29","HC03_EST_VC29","HC04_EST_VC29","HC05_EST_VC29","HC01_EST_VC32","HC02_EST_VC32","HC03_EST_VC32","HC04_EST_VC32","HC05_EST_VC32","HC01_EST_VC33","HC02_EST_VC33","HC03_EST_VC33","HC04_EST_VC33","HC05_EST_VC33"
"22","41041","20913","10146","894","2005","7868","2.17","2.70","3.04","2.88","1.21","13045","10146","894","2005","(X)","2.66","2.68","2.71","2.59","(X)","4142","2599","522","1021","(X)","21.1","18.4","22.0","27.7","(X)","17.5","22.9","10.3","7.1","(X)","61.4","58.7","67.6","65.1","(X)","20913","10146","894","2005","7868","22.8","28.3","68.0","63.5","0.2","49.9","50.0","27.1","30.3","57.3","31.1","(X)","(X)","(X)","82.7","14.1","(X)","(X)","(X)","37.5","0.6","(X)","(X)","(X)","(X)","5.5","(X)","(X)","(X)","(X)","66.6","77.3","56.7","60.9","55.3","14.3","5.7","24.3","23.2","22.1","19.1","17.0","19.0","15.9","22.5","65.5","78.5","34.2","43.8","57.7","34.5","21.5","65.8","56.2","42.3"
"23","41043","44722","23866","1914","5065","13877","2.60","3.11","3.42","3.38","1.34","30845","23866","1914","5065","(X)","3.06","3.07","2.95","3.08","(X)","12735","8379","992","3364","(X)","24.4","23.9","21.0","26.7","(X)","19.3","20.0","21.3","17.1","(X)","56.3","56.2","57.8","56.3","(X)","44722","23866","1914","5065","13877","31.4","37.3","64.3","71.8","2.0","39.3","39.8","21.5","20.2","47.8","24.0","(X)","(X)","(X)","77.3","10.6","(X)","(X)","(X)","34.3","0.4","(X)","(X)","(X)","(X)","6.6","(X)","(X)","(X)","(X)","71.3","82.4","66.6","57.0","58.1","16.2","6.0","20.4","31.1","27.7","12.5","11.6","13.0","11.9","14.2","66.8","80.7","48.7","38.0","55.8","33.2","19.3","51.3","62.0","44.2"
"24","41045","10136","5235","446","1198","3257","2.69","3.35","3.37","3.59","1.22","6879","5235","446","1198","(X)","3.31","3.32","2.85","3.40","(X)","3081","2103","274","704","(X)","20.5","20.0","44.5","12.6","(X)","22.5","25.4","6.6","19.9","(X)","57.0","54.6","48.9","67.5","(X)","10136","5235","446","1198","3257","34.8","44.9","64.1","67.1","2.5","41.3","39.9","30.9","29.9","49.3","28.0","(X)","(X)","(X)","87.3","12.0","(X)","(X)","(X)","37.2","0.1","(X)","(X)","(X)","(X)","5.9","(X)","(X)","(X)","(X)","68.1","77.9","52.7","61.4","57.0","14.1","4.8","24.9","23.4","24.2","17.8","17.3","22.4","15.2","18.8","61.6","78.3","46.9","40.7","44.6","38.4","21.7","53.1","59.3","55.4"
"25","41047","113285","57478","5990","14838","34979","2.72","3.34","3.56","3.44","1.26","78306","57478","5990","14838","(X)","3.23","3.28","3.01","3.13","(X)","37154","24161","3223","9770","(X)","21.4","21.0","28.1","20.4","(X)","23.0","24.4","20.3","20.6","(X)","55.5","54.6","51.7","59.0","(X)","113285","57478","5990","14838","34979","35.7","44.7","61.6","72.2","0.9","35.7","35.4","16.4","18.1","46.9","25.6","(X)","(X)","(X)","82.8","10.4","(X)","(X)","(X)","33.8","0.5","(X)","(X)","(X)","(X)","6.6","(X)","(X)","(X)","(X)","68.3","82.5","54.9","59.0","51.3","23.3","10.4","36.2","34.9","37.5","8.3","7.1","8.8","6.1","11.2","60.3","76.1","40.6","36.1","47.8","39.7","23.9","59.4","63.9","52.2"
"26","41049","3741","2180","210","421","930","2.98","3.38","4.70","3.83","1.28","2811","2180","210","421","(X)","3.44","3.36","4.20","3.48","(X)","1286","877","139","270","(X)","21.5","18.4","33.1","25.6","(X)","30.4","33.9","18.0","25.6","(X)","48.1","47.8","48.9","48.9","(X)","3741","2180","210","421","930","37.7","43.2","81.4","71.3","0.0","37.5","37.7","30.0","22.6","45.5","21.1","(X)","(X)","(X)","85.1","9.0","(X)","(X)","(X)","36.0","0.1","(X)","(X)","(X)","(X)","5.9","(X)","(X)","(X)","(X)","61.5","71.1","34.8","44.7","52.6","9.4","1.9","20.5","16.4","21.2","29.2","27.0","44.8","39.0","26.2","73.2","86.5","48.1","52.0","57.1","26.8","13.5","51.9","48.0","42.9"
"27","41051","305939","120361","12661","33084","139833","2.39","3.19","3.29","3.27","1.41","166106","120361","12661","33084","(X)","3.08","3.13","2.83","2.97","(X)","76197","50801","6274","19122","(X)","28.3","30.4","28.6","22.6","(X)","19.4","21.0","10.7","18.1","(X)","52.2","48.6","60.7","59.3","(X)","305939","120361","12661","33084","139833","27.0","44.4","57.0","63.7","0.6","28.8","29.9","24.5","23.5","29.5","33.2","(X)","(X)","(X)","72.5","8.6","(X)","(X)","(X)","18.8","1.6","(X)","(X)","(X)","(X)","7.9","(X)","(X)","(X)","(X)","61.7","81.6","62.5","59.8","45.0","36.0","16.5","35.0","37.1","52.7","2.3","1.9","2.5","3.1","2.4","54.2","75.0","47.4","43.4","39.4","45.8","25.0","52.6","56.6","60.6"
"28","41053","28239","15577","1146","2812","8704","2.62","3.18","3.22","3.18","1.35","19535","15577","1146","2812","(X)","3.10","3.16","2.76","2.89","(X)","8072","5899","555","1618","(X)","18.9","17.4","34.8","18.9","(X)","23.5","25.7","18.4","17.0","(X)","57.7","56.9","46.8","64.1","(X)","28239","15577","1146","2812","8704","31.4","39.7","53.9","68.0","1.6","38.7","39.2","21.6","23.5","45.0","22.9","(X)","(X)","(X)","74.2","9.4","(X)","(X)","(X)","30.5","0.5","(X)","(X)","(X)","(X)","5.9","(X)","(X)","(X)","(X)","72.3","85.5","67.4","51.9","55.8","20.3","7.8","30.1","39.0","35.4","7.4","6.7","2.5","9.1","8.8","65.4","79.5","44.2","43.5","49.9","34.6","20.5","55.8","56.5","50.1"
"29","41055","827","406","22","56","343","2.24","2.78","4.09","3.80","1.22","484","406","22","56","(X)","2.82","2.77","3.41","2.95","(X)","163","115","13","35","(X)","25.2","16.5","46.2","45.7","(X)","16.0","20.0","23.1","0.0","(X)","58.9","63.5","30.8","54.3","(X)","827","406","22","56","343","22.2","31.0","59.1","69.6","1.7","47.6","41.6","13.6","37.5","58.6","32.6","(X)","(X)","(X)","78.7","16.2","(X)","(X)","(X)","39.1","0.4","(X)","(X)","(X)","(X)","7.1","(X)","(X)","(X)","(X)","69.0","70.2","95.5","44.6","70.0","5.8","2.0","0.0","17.9","8.7","25.2","27.8","4.5","37.5","21.3","64.9","67.7","31.8","46.4","66.8","35.1","32.3","68.2","53.6","33.2"
"30","41057","10236","5247","437","891","3661","2.40","2.88","3.27","3.64","1.29","6575","5247","437","891","(X)","2.91","2.86","2.80","3.29","(X)","2257","1518","237","502","(X)","21.9","20.9","26.6","22.9","(X)","24.6","27.1","14.3","22.1","(X)","53.4","52.0","59.1","55.0","(X)","10236","5247","437","891","3661","24.5","31.2","60.0","65.3","0.7","48.8","48.0","33.9","31.4","56.0","29.4","(X)","(X)","(X)","82.2","13.9","(X)","(X)","(X)","38.8","0.1","(X)","(X)","(X)","(X)","5.4","(X)","(X)","(X)","(X)","74.2","84.8","70.7","68.4","60.9","9.3","2.2","3.7","17.2","18.3","16.5","13.1","25.6","14.5","20.8","69.9","80.1","74.8","38.4","62.2","30.1","19.9","25.2","61.6","37.8"
"31","41059","26744","13235","1508","3681","8320","2.70","3.25","3.92","3.55","1.22","18424","13235","1508","3681","(X)","3.23","3.21","3.44","3.21","(X)","8582","5230","840","2512","(X)","20.4","17.5","30.4","22.9","(X)","26.8","24.7","20.7","33.1","(X)","52.9","57.8","48.9","43.9","(X)","26744","13235","1508","3681","8320","36.2","43.2","70.2","75.7","1.4","36.6","37.1","18.0","19.3","46.7","25.9","(X)","(X)","(X)","83.3","10.1","(X)","(X)","(X)","32.4","0.3","(X)","(X)","(X)","(X)","7.7","(X)","(X)","(X)","(X)","68.6","80.6","68.0","58.2","54.2","17.0","4.8","19.4","25.7","32.1","14.4","14.6","12.5","16.1","13.7","63.8","81.3","55.3","42.6","46.7","36.2","18.7","44.7","57.4","53.3"
"32","41061","10235","5465","478","820","3472","2.43","3.01","2.71","3.02","1.34","6763","5465","478","820","(X)","2.92","2.99","2.34","2.85","(X)","2776","1893","292","591","(X)","24.0","19.2","52.1","25.5","(X)","21.1","22.2","5.8","25.0","(X)","54.9","58.6","42.1","49.4","(X)","10235","5465","478","820","3472","29.2","36.7","63.8","78.5","1.0","38.6","40.9","25.9","17.2","41.9","25.7","(X)","(X)","(X)","75.9","9.7","(X)","(X)","(X)","28.7","0.7","(X)","(X)","(X)","(X)","6.0","(X)","(X)","(X)","(X)","68.5","83.5","60.0","60.7","47.8","17.3","4.1","23.2","28.0","34.6","14.2","12.3","16.7","11.2","17.5","63.4","81.7","43.3","39.0","43.2","36.6","18.3","56.7","61.0","56.8"
"33","41063","2996","1504","54","289","1149","2.27","2.85","5.57","3.25","1.11","1847","1504","54","289","(X)","2.91","2.82","4.41","3.11","(X)","553","326","20","207","(X)","17.9","18.7","65.0","12.1","(X)","22.8","26.1","0.0","19.8","(X)","59.3","55.2","35.0","68.1","(X)","2996","1504","54","289","1149","19.6","22.7","57.4","74.7","0.0","53.0","59.1","46.3","21.1","53.3","35.3","(X)","(X)","(X)","92.0","14.5","(X)","(X)","(X)","37.8","0.2","(X)","(X)","(X)","(X)","4.1","(X)","(X)","(X)","(X)","73.6","81.9","66.7","51.9","68.5","10.0","1.3","0.0","28.4","17.2","16.4","16.8","33.3","19.7","14.3","73.9","88.4","74.1","45.7","62.1","26.1","11.6","25.9","54.3","37.9"
"34","41065","9612","4980","363","1141","3128","2.39","2.94","3.30","3.01","1.20","6484","4980","363","1141","(X)","2.86","2.90","2.83","2.72","(X)","2359","1487","200","672","(X)","25.3","23.6","21.5","30.4","(X)","16.8","21.6","4.5","10.0","(X)","57.8","54.8","74.0","59.7","(X)","9612","4980","363","1141","3128","28.7","33.8","69.1","67.6","1.8","42.3","43.6","25.9","16.3","51.8","27.1","(X)","(X)","(X)","83.2","11.8","(X)","(X)","(X)","36.4","0.1","(X)","(X)","(X)","(X)","7.4","(X)","(X)","(X)","(X)","67.4","77.5","65.3","58.7","54.8","16.7","6.2","20.9","29.3","28.3","15.9","16.2","13.8","12.0","16.9","64.9","78.8","70.8","36.9","52.2","35.1","21.2","29.2","63.1","47.8"
"35","41067","201771","106740","8383","20345","66303","2.64","3.28","3.35","3.30","1.33","135468","106740","8383","20345","(X)","3.19","3.25","2.85","3.03","(X)","67135","50630","4232","12273","(X)","24.1","25.5","25.4","17.9","(X)","20.2","21.8","10.2","16.8","(X)","55.7","52.7","64.4","65.3","(X)","201771","106740","8383","20345","66303","35.3","48.8","56.5","66.9","1.2","29.2","27.4","20.3","20.5","35.8","25.3","(X)","(X)","(X)","76.9","8.3","(X)","(X)","(X)","25.2","0.5","(X)","(X)","(X)","(X)","6.1","(X)","(X)","(X)","(X)","67.2","82.7","62.4","52.3","47.3","30.0","14.7","34.7","44.9","49.4","2.8","2.6","2.9","2.7","3.2","61.0","76.2","46.4","41.9","44.2","39.0","23.8","53.6","58.1","55.8"
"36","41069","625","359","18","33","215","2.00","2.44","2.78","2.82","1.07","410","359","18","33","(X)","2.45","2.44","2.28","2.64","(X)","83","56","10","17","(X)","15.7","10.7","70.0","0.0","(X)","10.8","7.1","0.0","29.4","(X)","73.5","82.1","30.0","70.6","(X)","625","359","18","33","215","14.7","17.3","55.6","60.6","0.0","57.6","58.8","0.0","36.4","63.7","32.8","(X)","(X)","(X)","95.3","18.1","(X)","(X)","(X)","52.6","0.0","(X)","(X)","(X)","(X)","1.9","(X)","(X)","(X)","(X)","75.5","75.8","83.3","66.7","75.8","0.5","0.0","16.7","0.0","0.0","24.0","24.2","0.0","33.3","24.2","72.0","78.0","44.4","51.5","67.4","28.0","22.0","55.6","48.5","32.6"
"37","41071","34138","19591","1710","3653","9184","2.77","3.27","3.50","3.43","1.30","24954","19591","1710","3653","(X)","3.16","3.19","2.93","3.06","(X)","11069","8013","925","2131","(X)","19.6","20.5","22.3","15.0","(X)","19.5","21.1","21.8","12.8","(X)","60.9","58.5","55.9","72.2","(X)","34138","19591","1710","3653","9184","35.6","43.3","63.7","67.6","1.3","37.4","35.0","19.5","28.3","49.7","21.8","(X)","(X)","(X)","80.9","10.0","(X)","(X)","(X)","37.0","0.3","(X)","(X)","(X)","(X)","5.5","(X)","(X)","(X)","(X)","74.8","84.3","63.5","66.7","59.8","15.2","7.1","22.2","22.9","28.1","10.1","8.7","14.3","10.5","12.1","68.8","80.2","49.5","49.0","56.1","31.2","19.8","50.5","51.0","43.9"
